ID,Monthly_Revenue,Net_Profit_Margin (%),Burn_Rate_Ratio,Transaction_Count,Avg_Historical_Rating,Review_Text,Review_Volatility,Business_Tenure_Months,Repeat_Order_Rate (%),Digital_Adoption_Score,Peak_Hour_Latency,Location_Competitiveness,Sentiment_Score,Class
22,5460055,-6.64,1.071,105,4.03,Proses pembayaran sering bermasalah. Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.,0.575,132,25.8,1.0,High,9,-0.35,Struggling
23,5179761,1.02,1.029,90,4.04,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.611,23,14.46,2.85,Med,6,0.0,Growth
24,11306944,-24.2,1.232,158,3.09,Harga naik tapi layanan tidak membaik.,0.572,163,20.98,2.31,High,9,-0.2,Critical
25,7426631,-6.86,1.062,105,3.96,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.531,60,23.83,5.59,Med,15,0.0,Struggling
26,3339849,-19.58,1.14,98,3.39,"Sudah beberapa kali order, pengalaman makin menurun. Occaecati recusandae in aperiam.",0.584,24,14.27,3.55,Med,10,-0.3,Struggling
27,10248379,-3.76,1.004,155,3.72,"Pelayanan standar, masih bisa ditingkatkan.",0.353,91,19.29,4.43,Low,7,0.0,Growth
28,4493621,6.5,0.875,100,4.11,"Produk cukup baik, kadang waktu tunggu agak lama.",0.428,51,10.02,2.37,Med,6,0.0,Growth
29,4999894,5.72,0.968,113,4.32,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.247,61,19.2,4.27,Low,11,0.8,Growth
30,7613570,5.68,0.901,151,3.61,Kadang stok kosong saat jam ramai.,0.25,172,15.17,1.0,Med,6,0.0,Growth
31,3256137,-2.92,0.99,81,3.81,"Harga dan kualitas seimbang, pengalaman biasa saja. Nisi iusto dolorum mollitia velit perspiciatis.",0.17,17,14.5,1.0,Low,10,0.0,Growth
32,11622949,7.76,0.958,188,4.19,"Harga dan kualitas seimbang, pengalaman biasa saja. Placeat modi eaque odit.",0.322,177,36.65,6.15,Med,7,0.0,Growth
33,1608613,-0.87,1.035,60,3.59,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.549,53,19.47,1.15,Med,12,0.0,Growth
34,7699875,0.89,0.972,163,4.11,"Produk cukup baik, kadang waktu tunggu agak lama.",0.457,110,21.66,1.5,Med,7,0.0,Growth
35,8649813,27.54,0.715,138,4.69,"Kualitas produk konsisten, harga masih masuk akal.",0.133,57,23.11,5.39,Low,7,0.2,Growth
36,7510975,-25.03,1.267,71,2.05,"Kualitas tidak konsisten, kadang bagus kadang kurang. Eos culpa a quam.",0.549,66,5.73,2.18,High,15,-0.25,Critical
37,7451269,17.61,0.865,143,4.25,"Pengiriman cepat, admin komunikatif. Voluptas quis magni autem numquam.",0.245,133,16.43,4.09,Low,4,0.55,Growth
38,6345095,-20.62,1.144,86,3.7,"Sudah beberapa kali order, pengalaman makin menurun.",0.578,53,23.75,3.32,High,12,-0.3,Struggling
39,10733588,-10.02,1.077,135,3.69,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.587,137,15.66,3.04,High,11,-0.25,Struggling
40,4272511,15.21,0.844,46,3.92,"Produk cukup baik, kadang waktu tunggu agak lama. Non corrupti quis molestiae quod minus a.",0.228,23,15.46,3.3,Low,10,0.0,Growth
41,2204047,-35.0,1.355,67,1.86,Pesanan sering terlambat saat jam sibuk.,0.512,75,20.53,1.0,High,15,-0.65,Critical
42,8939404,29.79,0.731,155,4.56,Kadang stok kosong saat jam ramai. Laborum beatae facilis voluptates rem dolores.,0.456,169,35.51,3.21,Med,3,0.0,Elite
43,14607820,18.93,0.817,127,4.86,"Kualitas produk konsisten, harga masih masuk akal.",0.13,20,37.15,7.2,Low,5,0.2,Elite
44,4022387,-3.1,1.06,149,3.45,"Secara umum oke, hanya respon chat kadang lambat.",0.542,134,29.06,2.69,Med,9,-0.3,Growth
45,8559824,2.36,0.989,160,4.35,"Harga dan kualitas seimbang, pengalaman biasa saja. Soluta veniam assumenda laborum architecto.",0.455,91,27.7,4.65,Med,7,0.0,Growth
46,5632394,0.7,1.002,102,4.13,Kadang stok kosong saat jam ramai.,0.545,62,11.88,2.45,Med,9,0.0,Growth
47,3678708,-5.29,0.946,56,4.18,Kadang stok kosong saat jam ramai. Quisquam consectetur labore mollitia eaque sit incidunt.,0.385,16,10.42,1.0,Med,6,0.0,Growth
48,8241384,-8.81,1.046,44,4.54,"Pelayanan standar, masih bisa ditingkatkan. Ut quidem porro quae id.",0.454,11,20.59,5.82,Med,12,0.0,Struggling
49,5114089,16.79,0.78,144,4.71,Selalu repeat order karena kualitasnya terjaga.,0.4,92,28.46,6.85,Low,5,0.25,Elite
50,13410981,35.46,0.671,149,5.0,"Transaksi digital lancar, proses checkout tidak ribet.",0.336,55,27.66,4.43,Low,3,-0.25,Elite
51,8673997,-19.08,1.17,153,3.29,Harga naik tapi layanan tidak membaik.,0.71,132,11.85,1.0,High,10,-0.2,Struggling
52,24554942,16.3,0.896,108,4.82,"Pelayanan standar, masih bisa ditingkatkan.",0.368,86,15.88,4.2,Med,10,0.0,Growth
53,6884635,5.98,0.935,104,4.13,"Pelayanan standar, masih bisa ditingkatkan.",0.206,94,17.43,3.77,Low,12,0.0,Growth
54,6976937,-8.89,1.084,115,4.27,"Produk cukup baik, kadang waktu tunggu agak lama.",0.442,113,18.52,3.86,Med,10,0.0,Struggling
55,13282505,-2.43,1.025,172,3.59,Pesanan sering terlambat saat jam sibuk. Ipsa maxime commodi dolore excepturi nihil.,0.667,174,23.35,4.04,High,6,-0.65,Struggling
56,3017269,-8.11,1.008,65,3.99,"Pelayanan standar, masih bisa ditingkatkan.",0.465,10,6.64,2.1,Med,11,0.0,Struggling
57,18649463,-12.65,1.149,182,3.98,Proses pembayaran sering bermasalah.,0.776,177,23.04,4.19,High,9,-0.35,Struggling
58,1871839,9.78,0.884,43,4.29,"Pengiriman cepat, admin komunikatif.",0.336,37,9.23,1.31,Low,6,0.55,Growth
59,6437763,7.2,0.951,124,4.14,Kadang stok kosong saat jam ramai.,0.411,83,13.19,3.67,Med,5,0.0,Growth
60,7092090,8.66,0.892,137,4.28,Selalu repeat order karena kualitasnya terjaga.,0.199,166,17.72,1.64,Low,12,0.25,Growth
61,4776020,11.85,0.853,87,4.76,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.062,52,16.47,4.88,Low,7,0.8,Growth
62,16910663,-4.62,1.052,106,3.51,Pesanan sering terlambat saat jam sibuk.,0.624,106,9.6,1.0,High,8,-0.65,Struggling
63,15510460,6.98,0.934,148,4.03,"Secara umum oke, hanya respon chat kadang lambat.",0.179,134,24.57,2.72,Med,4,-0.3,Growth
64,1500000,-27.56,1.258,15,2.12,"Sudah beberapa kali order, pengalaman makin menurun.",0.677,4,13.36,1.0,High,13,-0.3,Critical
65,5912226,-7.02,1.034,133,3.75,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.405,136,14.95,3.28,Med,10,0.0,Struggling
66,5157589,-6.26,1.053,95,4.24,Kadang stok kosong saat jam ramai. Nihil ab provident animi architecto.,0.479,56,25.32,5.23,Med,11,0.0,Struggling
67,6858932,-18.65,1.164,115,3.55,"Sudah beberapa kali order, pengalaman makin menurun.",0.727,108,15.16,2.93,High,12,-0.3,Struggling
68,3734396,17.81,0.86,58,4.55,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.348,6,26.97,5.26,Med,10,0.0,Elite
69,2533948,1.21,0.999,92,3.76,"Pelayanan standar, masih bisa ditingkatkan.",0.278,56,21.87,4.61,Low,15,0.0,Growth
70,9337703,11.27,0.901,150,4.57,"Produk cukup baik, kadang waktu tunggu agak lama.",0.312,148,28.36,2.57,Med,8,0.0,Growth
71,6194783,24.25,0.773,125,4.99,Aplikasi pemesanan mudah dipakai dan responsif.,0.11,46,24.86,5.25,Low,2,0.55,Elite
72,12197753,-3.93,1.028,214,4.05,Harga naik tapi layanan tidak membaik.,0.503,164,24.33,4.3,High,7,-0.2,Struggling
73,4584816,23.17,0.759,67,4.4,"Kualitas produk konsisten, harga masih masuk akal.",0.19,16,26.68,3.2,Low,4,0.2,Growth
74,10045603,-8.28,0.975,130,3.56,"Pelayanan standar, masih bisa ditingkatkan.",0.442,97,2.0,1.0,Med,7,0.0,Growth
75,5013581,-5.84,1.047,124,3.51,Harga naik tapi layanan tidak membaik.,0.649,50,11.55,2.08,High,11,-0.2,Struggling
76,1500000,-2.94,1.004,45,4.2,"Secara umum oke, hanya respon chat kadang lambat.",0.425,17,4.42,2.88,Med,11,-0.3,Growth
77,5036583,27.01,0.734,68,4.81,"Pelayanan cepat dan ramah, pesanan selalu tepat. Similique architecto dolores.",0.287,42,30.68,6.17,Low,8,0.8,Elite
78,2635554,-27.41,1.223,60,3.06,Respons admin lambat dan informasi kurang jelas.,0.618,84,12.14,1.0,Med,12,-0.55,Critical
79,17558855,4.04,0.907,112,4.51,Aplikasi pemesanan mudah dipakai dan responsif. Distinctio consequatur vel necessitatibus labore quos rem.,0.29,113,5.64,3.7,Low,10,0.55,Growth
80,5323570,1.88,1.007,75,4.19,"Pelayanan standar, masih bisa ditingkatkan.",0.323,55,9.83,2.59,Low,10,0.0,Growth
81,4365482,9.38,0.948,54,4.23,"Produk cukup baik, kadang waktu tunggu agak lama. Atque omnis explicabo illum sint.",0.361,26,14.65,2.95,Med,5,0.0,Growth
82,4297244,3.69,0.948,113,4.01,Kadang stok kosong saat jam ramai.,0.384,156,28.11,2.02,Med,10,0.0,Growth
83,2444589,11.29,0.905,141,4.07,"Secara umum oke, hanya respon chat kadang lambat.",0.156,126,32.99,3.59,Low,6,-0.3,Growth
84,3117629,-35.0,1.325,47,3.0,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.782,43,6.82,1.55,High,11,-0.25,Critical
85,4664786,-15.21,1.125,115,3.46,Harga naik tapi layanan tidak membaik. Perferendis voluptates atque.,0.681,159,15.91,2.05,High,6,-0.2,Struggling
86,9010138,-7.97,1.08,71,3.95,"Secara umum oke, hanya respon chat kadang lambat.",0.589,17,24.06,4.33,Med,10,-0.3,Struggling
87,5300352,-2.4,0.986,120,4.04,Kadang stok kosong saat jam ramai.,0.423,47,15.97,2.48,Med,7,0.0,Growth
88,12129531,20.81,0.782,169,4.67,Selalu repeat order karena kualitasnya terjaga.,0.194,67,29.22,4.61,Low,2,0.25,Elite
89,4678626,-15.64,1.141,79,3.7,"Pelayanan standar, masih bisa ditingkatkan.",0.29,91,15.78,3.93,Low,15,0.0,Struggling
90,4408055,-4.31,1.04,69,3.65,Kadang stok kosong saat jam ramai.,0.408,73,6.43,1.0,Med,13,0.0,Struggling
91,2946843,-7.28,1.057,75,4.19,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.477,11,17.78,4.95,Med,8,0.0,Struggling
92,6836822,15.41,0.863,134,4.42,Selalu repeat order karena kualitasnya terjaga.,0.31,90,20.82,5.05,Low,10,0.25,Growth
93,22620577,32.47,0.657,179,4.77,"Kualitas produk konsisten, harga masih masuk akal. Quas reiciendis autem deleniti modi consequuntur.",0.321,131,21.99,5.14,Low,6,0.2,Growth
94,8637887,-24.54,1.131,136,3.1,Respons admin lambat dan informasi kurang jelas. Eius dolorum unde ipsam.,0.661,138,15.75,1.0,High,16,-0.55,Struggling
95,2005504,-31.22,1.307,38,1.78,Harga naik tapi layanan tidak membaik. Atque officiis molestiae accusamus at quidem dolores.,0.665,65,4.4,1.0,High,19,-0.2,Critical
96,5938931,-5.59,1.029,173,4.33,"Pelayanan standar, masih bisa ditingkatkan. Laborum distinctio id animi fugiat voluptates.",0.652,141,29.44,4.24,Med,9,0.0,Struggling
97,7175848,21.04,0.77,120,4.22,"Transaksi digital lancar, proses checkout tidak ribet.",0.166,83,16.22,3.67,Low,9,-0.25,Growth
98,3947743,-29.18,1.24,93,3.49,"Kualitas tidak konsisten, kadang bagus kadang kurang. Unde quos eligendi possimus quas.",0.776,138,20.67,1.53,High,13,-0.25,Critical
99,3581616,10.26,0.852,128,4.49,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.297,165,22.7,1.7,Low,10,0.8,Growth
100,8496040,22.26,0.798,217,4.38,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.163,165,22.71,4.52,Low,8,0.8,Growth
101,2493299,-25.59,1.257,27,1.74,Respons admin lambat dan informasi kurang jelas.,0.591,35,9.92,1.63,High,12,-0.55,Critical
102,6033077,-3.17,1.044,147,3.59,"Pelayanan standar, masih bisa ditingkatkan.",0.503,125,20.7,2.0,Med,8,0.0,Growth
103,5764003,18.73,0.778,82,4.49,"Transaksi digital lancar, proses checkout tidak ribet.",0.188,7,6.34,4.43,Low,9,-0.25,Growth
104,2570521,-9.89,1.106,87,2.99,Harga naik tapi layanan tidak membaik.,0.696,43,16.85,1.0,High,6,-0.2,Struggling
105,4938540,13.1,0.883,84,5.0,"Kualitas produk konsisten, harga masih masuk akal.",0.23,30,16.8,4.97,Low,5,0.2,Growth
106,6780995,-33.52,1.379,148,2.74,Proses pembayaran sering bermasalah. Optio laborum deleniti dolor animi quasi aperiam.,0.5,137,12.28,4.74,High,12,-0.35,Critical
107,4386124,3.87,0.876,72,3.57,"Produk cukup baik, kadang waktu tunggu agak lama.",0.371,74,25.04,1.29,Med,6,0.0,Growth
108,8529184,8.19,0.845,102,4.53,Aplikasi pemesanan mudah dipakai dan responsif.,0.152,14,22.94,5.98,Low,6,0.55,Growth
109,29485689,1.29,0.986,181,4.1,Proses pembayaran sering bermasalah.,0.697,164,21.56,3.64,High,7,-0.35,Growth
110,4875331,25.74,0.785,100,4.81,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.106,35,20.99,6.18,Low,9,0.8,Growth
111,3555210,-10.6,1.083,71,4.19,"Produk cukup baik, kadang waktu tunggu agak lama. Animi nesciunt magnam sequi culpa vero.",0.687,50,16.17,3.95,Med,11,0.0,Struggling
112,11913560,-2.81,1.038,156,4.07,"Sudah beberapa kali order, pengalaman makin menurun.",0.595,153,26.34,2.5,High,10,-0.3,Growth
113,6777081,22.68,0.798,108,4.71,"Pelayanan cepat dan ramah, pesanan selalu tepat. Sed architecto architecto similique.",0.266,64,19.78,4.59,Low,7,0.8,Growth
114,9717391,-12.07,1.14,103,3.91,"Pelayanan standar, masih bisa ditingkatkan.",0.596,39,22.39,4.14,Med,12,0.0,Struggling
115,8670512,-20.01,1.186,71,3.19,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.596,101,22.0,1.13,Med,12,-0.25,Critical
116,9903306,-0.05,1.006,168,3.96,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.502,174,25.02,3.42,Med,9,0.0,Growth
117,2983112,-5.86,1.027,64,3.65,"Produk cukup baik, kadang waktu tunggu agak lama.",0.488,106,7.43,1.23,Med,15,0.0,Struggling
118,2732618,13.64,0.84,118,4.59,Selalu repeat order karena kualitasnya terjaga. Blanditiis tempora doloribus nisi nulla in.,0.206,37,33.47,4.4,Low,12,0.25,Elite
119,5910720,4.66,0.983,103,4.31,"Secara umum oke, hanya respon chat kadang lambat.",0.348,103,19.83,2.54,Med,8,-0.3,Growth
120,9501343,-0.36,1.011,199,3.76,"Produk cukup baik, kadang waktu tunggu agak lama.",0.535,177,29.76,1.0,Med,7,0.0,Growth
121,21050491,4.08,0.951,207,4.2,"Pelayanan standar, masih bisa ditingkatkan. Natus et ea pariatur et eaque consectetur officia.",0.436,133,26.1,4.54,Med,7,0.0,Growth
122,1903682,-3.52,1.026,52,3.36,Proses pembayaran sering bermasalah.,0.372,3,15.83,2.78,Med,8,-0.35,Growth
123,3322563,5.65,0.945,82,4.62,"Pengiriman cepat, admin komunikatif.",0.111,7,19.85,6.13,Low,11,0.55,Growth
124,10072303,-0.24,1.018,163,3.98,"Pelayanan standar, masih bisa ditingkatkan.",0.356,144,24.9,3.47,Med,12,0.0,Growth
125,4185802,-29.88,1.255,104,3.38,Kadang stok kosong saat jam ramai. Et quibusdam asperiores itaque voluptatum voluptatum asperiores.,0.395,105,21.15,1.0,Med,11,0.0,Critical
126,3127690,-19.62,1.191,62,3.22,Proses pembayaran sering bermasalah. Magni consequatur expedita architecto doloribus.,0.543,29,4.8,1.0,High,7,-0.35,Critical
127,9426994,18.93,0.783,140,4.48,"Transaksi digital lancar, proses checkout tidak ribet.",0.393,139,31.67,5.85,Low,11,-0.25,Elite
128,7698041,-12.12,1.084,76,4.36,"Secara umum oke, hanya respon chat kadang lambat.",0.451,17,16.42,3.1,Med,7,-0.3,Struggling
129,9922515,-6.11,1.02,132,4.03,Kadang stok kosong saat jam ramai. Culpa rerum provident nostrum voluptates.,0.171,92,4.64,2.24,Low,10,0.0,Struggling
130,2032787,-19.72,1.2,58,3.4,"Harga dan kualitas seimbang, pengalaman biasa saja. Ab repellendus error optio vel consequatur blanditiis.",0.401,44,7.94,1.0,Med,10,0.0,Critical
131,11086189,-4.24,1.015,99,3.95,"Produk cukup baik, kadang waktu tunggu agak lama.",0.559,126,15.4,2.51,Med,11,0.0,Struggling
132,6548885,11.08,0.823,154,4.76,Selalu repeat order karena kualitasnya terjaga. Quia culpa eligendi distinctio.,0.383,65,18.5,5.28,Low,10,0.25,Growth
133,6501585,2.85,0.953,144,4.55,Aplikasi pemesanan mudah dipakai dan responsif. Dignissimos odio eaque laborum temporibus sapiente.,0.315,98,20.91,6.05,Low,9,0.55,Growth
134,6273851,8.9,0.878,114,4.41,Selalu repeat order karena kualitasnya terjaga.,0.157,54,28.3,7.84,Low,10,0.25,Growth
135,2908487,7.88,0.934,68,4.58,Selalu repeat order karena kualitasnya terjaga. Odio repudiandae aliquid ex.,0.225,98,15.06,2.67,Low,8,0.25,Growth
136,7108598,-9.12,1.101,122,3.39,Harga naik tapi layanan tidak membaik. Odio ea qui mollitia.,0.523,134,5.08,1.29,Med,9,-0.2,Struggling
137,8008087,11.03,0.826,141,3.94,"Pelayanan standar, masih bisa ditingkatkan. Natus beatae velit porro corrupti alias.",0.306,153,22.73,3.45,Low,6,0.0,Growth
138,23077861,22.29,0.806,201,4.47,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.23,145,17.9,5.59,Low,5,0.8,Growth
139,4067475,9.08,0.895,161,4.54,"Kualitas produk konsisten, harga masih masuk akal.",0.341,173,26.13,4.34,Low,12,0.2,Growth
140,9948947,7.06,0.923,88,4.67,"Secara umum oke, hanya respon chat kadang lambat. Nesciunt corporis consectetur est tempore recusandae.",0.277,31,21.17,1.69,Med,7,-0.3,Growth
141,8131469,23.41,0.784,104,4.54,Selalu repeat order karena kualitasnya terjaga. Tempore distinctio dolorum.,0.314,38,24.26,6.17,Low,9,0.25,Elite
142,1745257,5.03,0.951,40,4.02,"Produk cukup baik, kadang waktu tunggu agak lama.",0.06,15,21.21,3.53,Low,13,0.0,Growth
143,4501820,-28.93,1.282,128,2.5,Harga naik tapi layanan tidak membaik.,0.632,162,3.02,1.0,High,13,-0.2,Critical
144,15771922,14.4,0.856,118,4.61,Aplikasi pemesanan mudah dipakai dan responsif.,0.321,73,16.1,4.72,Low,10,0.55,Growth
145,6781057,28.43,0.709,76,4.46,"Kualitas produk konsisten, harga masih masuk akal.",0.06,88,12.13,1.41,Low,7,0.2,Growth
146,5361978,14.65,0.893,60,3.97,"Harga dan kualitas seimbang, pengalaman biasa saja. Explicabo nam soluta voluptate.",0.137,30,25.29,3.83,Low,6,0.0,Growth
147,3486036,-8.76,1.036,136,3.64,Kadang stok kosong saat jam ramai. Unde dolores cum reiciendis.,0.562,68,26.29,5.2,Med,13,0.0,Struggling
148,6089867,26.24,0.717,182,4.42,"Transaksi digital lancar, proses checkout tidak ribet. Sunt ad qui ex.",0.338,172,14.29,4.67,Low,9,-0.25,Growth
149,5616726,15.16,0.802,86,4.3,Aplikasi pemesanan mudah dipakai dan responsif.,0.423,47,13.95,1.4,Low,8,0.55,Growth
150,4859048,19.83,0.786,98,4.08,"Produk cukup baik, kadang waktu tunggu agak lama. Rem sint repellat eaque ratione autem.",0.189,64,16.87,2.62,Low,6,0.0,Growth
151,11942149,0.93,0.996,130,4.11,"Secara umum oke, hanya respon chat kadang lambat.",0.526,136,15.91,3.74,Med,4,-0.3,Growth
152,3344007,-10.89,1.047,53,4.15,Pesanan sering terlambat saat jam sibuk. Similique dolore repellendus.,0.493,30,14.25,2.66,High,14,-0.65,Struggling
153,6210304,10.14,0.917,72,4.52,"Pelayanan standar, masih bisa ditingkatkan.",0.374,30,18.57,4.63,Med,12,0.0,Growth
154,8745835,7.52,0.912,137,4.1,"Pelayanan standar, masih bisa ditingkatkan.",0.308,110,19.16,4.79,Med,12,0.0,Growth
155,5194729,-5.11,1.04,76,4.27,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.321,46,14.83,4.84,Low,12,0.8,Struggling
156,6849327,-4.0,1.016,90,4.11,Respons admin lambat dan informasi kurang jelas. Expedita reprehenderit sit dolore optio id eius.,0.653,86,19.86,2.9,High,9,-0.55,Struggling
157,5544318,-1.74,0.982,58,4.22,Kadang stok kosong saat jam ramai.,0.395,32,15.73,1.21,Med,8,0.0,Growth
158,3078469,-2.79,0.99,100,4.84,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.425,77,17.61,3.21,Med,9,0.0,Growth
159,3943644,-12.58,1.115,126,3.66,"Secara umum oke, hanya respon chat kadang lambat. Vitae eius odit id.",0.485,130,11.0,2.21,Med,7,-0.3,Struggling
160,6540538,-2.09,1.062,88,4.42,"Secara umum oke, hanya respon chat kadang lambat. Ex adipisci soluta ea neque voluptates alias.",0.511,94,14.28,3.66,Med,11,-0.3,Growth
161,6094460,1.26,0.958,184,4.09,"Sudah beberapa kali order, pengalaman makin menurun. Ipsa quas et non maiores harum nemo ducimus.",0.751,131,25.63,2.87,High,8,-0.3,Growth
162,14124916,4.45,0.902,160,4.21,"Pelayanan standar, masih bisa ditingkatkan. A unde modi quaerat quia perferendis.",0.477,123,30.32,3.24,Med,7,0.0,Growth
163,6760534,18.8,0.852,72,4.48,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.294,29,17.05,2.6,Low,6,0.8,Growth
164,11662547,11.21,0.884,98,4.43,"Kualitas produk konsisten, harga masih masuk akal. Inventore veniam ullam numquam optio commodi.",0.176,123,24.76,2.52,Low,10,0.2,Growth
165,10786948,3.81,0.913,158,4.44,Selalu repeat order karena kualitasnya terjaga. Magni pariatur eveniet possimus mollitia.,0.262,118,39.86,5.73,Low,9,0.25,Growth
166,3884232,11.1,0.87,46,4.57,Aplikasi pemesanan mudah dipakai dan responsif. In velit perspiciatis temporibus nulla.,0.072,5,2.29,2.49,Low,6,0.55,Growth
167,5245096,-5.16,1.036,132,4.06,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.339,105,20.32,1.73,Med,8,0.0,Struggling
168,6424028,-6.55,1.04,155,3.75,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.228,157,26.58,3.79,Low,12,0.0,Struggling
169,7796776,7.52,0.913,144,4.74,"Produk cukup baik, kadang waktu tunggu agak lama. Illo rerum esse distinctio ratione.",0.45,139,23.6,4.53,Med,10,0.0,Growth
170,7544812,6.59,0.924,88,4.03,Kadang stok kosong saat jam ramai.,0.48,64,26.6,3.42,Med,8,0.0,Growth
171,6416353,-8.75,1.017,160,3.8,"Produk cukup baik, kadang waktu tunggu agak lama. Omnis iure ipsam distinctio labore temporibus recusandae cumque.",0.44,167,16.74,1.0,Med,9,0.0,Struggling
172,9261381,-18.87,1.127,63,3.55,"Pelayanan standar, masih bisa ditingkatkan.",0.506,53,13.74,3.34,Med,11,0.0,Struggling
173,4947225,-5.49,1.035,167,3.79,"Harga dan kualitas seimbang, pengalaman biasa saja. Eligendi optio nulla at.",0.48,174,17.16,3.28,Med,9,0.0,Struggling
174,7219708,11.84,0.87,185,4.45,Kadang stok kosong saat jam ramai.,0.548,154,23.79,3.72,Med,6,0.0,Growth
175,4102737,-18.56,1.195,56,3.88,Kadang stok kosong saat jam ramai.,0.378,61,15.4,2.54,Med,13,0.0,Critical
